Order ID,Order Date,Customer Name,Region,City,State,Product,Category,Quantity,Sales,Profit,Discount,Ship Mode,Segment
20611,2020-09-19,Arjun,West,Hyderabad,Karnataka,Blender,Appliances,2,18230,3947.89,0.16,Second Class,Consumer
20453,2022-11-26,Neha,West,Delhi,Karnataka,Camera,Electronics,1,3470,902.57,0.25,Same Day,Corporate
20587,2024-07-06,Meera,North,Mumbai,Telangana,Shoes,Fashion,4,34980,1845.51,0.03,First Class,Consumer
20338,2024-09-25,Riya,East,Delhi,Delhi,Headphones,Electronics,5,43260,2397.58,0.15,Same Day,Home Office
20688,2021-04-04,Neha,South,Delhi,Karnataka,Bottle,Accessories,5,45270,14378.38,0.19,Second Class,Consumer
20879,2022-08-17,Amit,West,Delhi,Karnataka,Watch,Fashion,4,33184,6628.77,0.17,Same Day,Consumer
20220,2020-06-06,Karan,East,Bangalore,Delhi,Backpack,Accessories,3,4080,1340.26,0.13,Standard Class,Home Office
20116,2020-07-09,Karan,East,Ahmedabad,Telangana,Laptop,Electronics,3,25857,4183.82,0.12,Second Class,Corporate
20792,2021-09-17,Riya,South,Ahmedabad,Gujarat,Smartphone,Electronics,3,5127,752.47,0.25,Standard Class,Home Office
20477,2024-09-01,Vikas,West,Delhi,Telangana,Headphones,Electronics,2,18032,1342.99,0.0,Same Day,Consumer
20400,2021-10-15,Arjun,East,Hyderabad,Tamil Nadu,Bottle,Accessories,4,24876,5559.39,0.01,Standard Class,Corporate
20150,2020-11-09,Deepak,North,Ahmedabad,Tamil Nadu,Television,Electronics,4,20308,6027.01,0.11,Same Day,Consumer
20572,2022-09-30,Arjun,East,Ahmedabad,Karnataka,Watch,Fashion,4,20676,1354.37,0.16,First Class,Home Office
20656,2020-09-25,Priya,South,Chennai,Maharashtra,T-shirt,Fashion,3,15156,2571.16,0.13,Second Class,Home Office
20117,2022-03-01,Tanya,South,Ahmedabad,Delhi,Charger,Electronics,5,9820,1001.53,0.05,Second Class,Corporate
20488,2023-06-14,Karan,East,Bangalore,Maharashtra,Laptop,Electronics,5,21850,5399.86,0.13,Standard Class,Home Office
20656,2023-12-29,Karan,West,Ahmedabad,Maharashtra,Fridge,Appliances,4,21952,1717.68,0.09,Second Class,Consumer
20474,2021-03-07,Karan,North,Bangalore,Maharashtra,Book,Books,4,30884,5563.92,0.12,Second Class,Corporate
20180,2023-05-31,Deepak,South,Delhi,Karnataka,Bottle,Accessories,2,19014,4708.02,0.05,Same Day,Home Office
20896,2020-06-08,Neha,East,Chennai,Karnataka,Chair,Furniture,4,28532,6334.39,0.04,Standard Class,Home Office
20835,2024-05-19,Amit,South,Chennai,West Bengal,Table,Furniture,2,2732,297.07,0.02,First Class,Corporate
20754,2020-02-04,Vikas,East,Delhi,Gujarat,Television,Electronics,2,18534,3069.58,0.2,Second Class,Corporate
20196,2022-04-05,Karan,West,Mumbai,Tamil Nadu,Fan,Appliances,5,3560,219.85,0.13,Standard Class,Consumer
20457,2022-07-08,Rahul,South,Ahmedabad,Tamil Nadu,Television,Electronics,3,13137,1160.09,0.08,Same Day,Home Office
20780,2023-10-24,Vikas,South,Chennai,West Bengal,Sofa,Furniture,1,3214,260.13,0.27,Second Class,Consumer
20019,2020-06-25,Sneha,East,Ahmedabad,Karnataka,Charger,Electronics,5,38500,11709.5,0.11,Same Day,Corporate
20851,2024-03-09,Karan,East,Ahmedabad,Delhi,Watch,Fashion,3,14373,2135.82,0.2,Same Day,Consumer
20039,2020-04-18,Karan,East,Kolkata,Maharashtra,T-shirt,Fashion,2,13682,2939.7,0.13,First Class,Consumer
20751,2021-08-10,Tanya,West,Mumbai,Delhi,T-shirt,Fashion,2,5678,1760.52,0.25,Second Class,Consumer
20946,2022-03-05,Deepak,North,Hyderabad,Karnataka,Smartphone,Electronics,5,32360,2441.6,0.3,Same Day,Consumer
20657,2021-05-25,Vikas,East,Kolkata,Maharashtra,Sofa,Furniture,4,13764,3612.42,0.14,Same Day,Corporate
20858,2024-04-03,Vikas,East,Delhi,Gujarat,Headphones,Electronics,5,25240,4330.19,0.17,Same Day,Consumer
20001,2021-01-21,Arjun,West,Chennai,Tamil Nadu,Television,Electronics,1,1123,234.16,0.13,Second Class,Consumer
20815,2023-03-18,Riya,East,Delhi,Delhi,Jeans,Fashion,4,22592,2844.27,0.21,Standard Class,Corporate
20526,2023-03-12,Amit,West,Ahmedabad,Karnataka,Headphones,Electronics,1,7414,995.62,0.29,Same Day,Corporate
20373,2022-10-28,Deepak,North,Bangalore,West Bengal,Shoes,Fashion,2,8038,1253.97,0.18,Same Day,Consumer
20502,2022-08-16,Amit,South,Kolkata,Tamil Nadu,Camera,Electronics,1,6432,1891.9,0.21,Standard Class,Consumer
20390,2024-06-05,Rahul,East,Ahmedabad,Delhi,Watch,Fashion,1,309,101.91,0.26,Standard Class,Consumer
20374,2022-12-24,Priya,North,Delhi,Maharashtra,Oven,Appliances,1,7749,1272.91,0.29,First Class,Consumer
20105,2023-01-27,Amit,East,Chennai,Tamil Nadu,Blender,Appliances,4,9200,1934.8,0.22,First Class,Consumer
20677,2021-12-14,Deepak,West,Hyderabad,Delhi,Bottle,Accessories,1,7545,841.37,0.08,Standard Class,Consumer
20881,2021-05-02,Priya,West,Delhi,Telangana,Table,Furniture,2,1098,226.29,0.23,First Class,Corporate
20236,2021-01-23,Neha,West,Bangalore,Maharashtra,Television,Electronics,5,36480,8821.17,0.24,First Class,Corporate
20806,2023-08-22,Priya,East,Mumbai,West Bengal,Fan,Appliances,3,4893,1048.25,0.14,First Class,Corporate
20081,2020-05-12,Sneha,South,Chennai,Maharashtra,T-shirt,Fashion,1,5749,1613.6,0.02,Standard Class,Corporate
20205,2020-05-05,Neha,East,Hyderabad,Karnataka,Jeans,Fashion,3,6618,1397.58,0.14,Same Day,Home Office
20360,2022-06-18,Meera,East,Chennai,Tamil Nadu,Headphones,Electronics,3,2898,725.27,0.05,Second Class,Home Office
20466,2021-08-26,Deepak,South,Chennai,West Bengal,Backpack,Accessories,1,6676,1046.78,0.27,Standard Class,Corporate
20073,2022-03-04,Tanya,West,Delhi,Delhi,Oven,Appliances,1,6793,659.55,0.11,Standard Class,Corporate
20867,2023-06-30,Sneha,East,Ahmedabad,West Bengal,Oven,Appliances,2,16900,3538.52,0.22,Second Class,Corporate
20007,2022-10-23,Vikas,East,Pune,Delhi,Fridge,Appliances,3,18510,1094.71,0.26,Second Class,Home Office
20631,2021-04-29,Arjun,North,Chennai,Karnataka,T-shirt,Fashion,1,1596,181.04,0.1,Same Day,Consumer
20025,2024-05-22,Deepak,West,Ahmedabad,Delhi,Headphones,Electronics,1,9661,734.97,0.16,Second Class,Home Office
20748,2021-08-17,Deepak,North,Hyderabad,Tamil Nadu,Camera,Electronics,5,15195,3704.16,0.17,Same Day,Home Office
20377,2023-08-05,Karan,North,Pune,West Bengal,Backpack,Accessories,4,29144,2225.62,0.24,Same Day,Home Office
20243,2021-06-26,Meera,West,Pune,Telangana,Watch,Fashion,4,37644,3147.48,0.12,Same Day,Home Office
20118,2022-05-30,Meera,North,Bangalore,Tamil Nadu,Backpack,Accessories,3,17580,4668.14,0.16,Second Class,Home Office
20326,2023-12-04,Riya,South,Hyderabad,Telangana,Shoes,Fashion,3,27645,5592.12,0.07,First Class,Consumer
20805,2020-05-18,Sneha,South,Bangalore,Maharashtra,Sofa,Furniture,3,12132,1950.45,0.14,Standard Class,Home Office
20013,2023-04-06,Priya,West,Hyderabad,Gujarat,Chair,Furniture,1,1642,417.81,0.23,First Class,Home Office
20419,2024-06-17,Amit,South,Bangalore,West Bengal,Watch,Fashion,4,2140,369.27,0.28,First Class,Consumer
20547,2021-05-27,Meera,North,Chennai,West Bengal,Table,Furniture,3,28092,7729.53,0.24,First Class,Consumer
20379,2020-03-18,Deepak,West,Kolkata,Tamil Nadu,Shoes,Fashion,1,1365,228.96,0.24,First Class,Corporate
20422,2022-11-12,Amit,East,Hyderabad,Telangana,Television,Electronics,1,4333,923.21,0.27,First Class,Home Office
20579,2021-01-25,Rahul,East,Kolkata,Karnataka,Table,Furniture,2,11734,1173.63,0.26,Standard Class,Corporate
20157,2021-07-03,Tanya,North,Kolkata,Maharashtra,Laptop,Electronics,5,6250,580.86,0.06,Second Class,Corporate
20865,2023-02-15,Riya,North,Pune,Karnataka,Sofa,Furniture,4,26636,6157.91,0.15,Same Day,Consumer
20844,2024-09-04,Priya,South,Ahmedabad,Telangana,Bottle,Accessories,3,3279,411.64,0.1,First Class,Corporate
20134,2021-12-12,Vikas,North,Delhi,Gujarat,Oven,Appliances,2,17708,1700.06,0.18,Second Class,Corporate
20616,2022-04-07,Neha,South,Delhi,Karnataka,Charger,Electronics,4,19004,6188.18,0.24,Standard Class,Home Office
20799,2023-11-02,Tanya,North,Mumbai,Telangana,Bottle,Accessories,5,18340,6009.48,0.14,Second Class,Consumer
20420,2023-04-20,Vikas,South,Bangalore,Delhi,Laptop,Electronics,3,15993,3716.27,0.11,Standard Class,Consumer
20117,2024-08-16,Tanya,East,Mumbai,West Bengal,Headphones,Electronics,4,3344,1033.48,0.28,First Class,Corporate
20529,2021-10-01,Neha,West,Delhi,Delhi,Charger,Electronics,3,4515,464.67,0.15,Second Class,Consumer
20285,2020-03-03,Neha,South,Bangalore,Gujarat,Fan,Appliances,5,6330,2169.05,0.14,Same Day,Corporate
20701,2023-10-15,Amit,South,Ahmedabad,Telangana,Book,Books,1,2059,144.38,0.22,First Class,Home Office
20285,2023-08-21,Meera,West,Delhi,Maharashtra,Bottle,Accessories,2,2136,603.76,0.14,Second Class,Corporate
20222,2024-08-28,Rahul,South,Kolkata,Telangana,Shoes,Fashion,1,3635,1121.53,0.28,Same Day,Corporate
20162,2023-11-04,Amit,East,Chennai,Telangana,Fan,Appliances,5,5660,1219.82,0.08,First Class,Home Office
20761,2023-06-16,Karan,West,Ahmedabad,Telangana,Headphones,Electronics,3,24228,5257.88,0.22,First Class,Corporate
20491,2021-03-27,Sneha,East,Delhi,Gujarat,Watch,Fashion,5,26525,3658.97,0.27,First Class,Corporate
20085,2020-05-26,Rahul,South,Pune,Maharashtra,Shoes,Fashion,5,22385,7113.99,0.25,Same Day,Home Office
20707,2021-04-15,Vikas,West,Kolkata,Karnataka,Charger,Electronics,4,4416,763.19,0.17,Second Class,Consumer
20506,2022-05-03,Arjun,South,Kolkata,Delhi,Television,Electronics,2,5958,2059.15,0.14,Same Day,Consumer
20526,2021-06-04,Meera,West,Mumbai,Maharashtra,Smartphone,Electronics,5,8020,1021.48,0.04,First Class,Corporate
20029,2023-02-06,Priya,South,Mumbai,Delhi,Watch,Fashion,3,21843,7083.46,0.04,Same Day,Consumer
20677,2023-03-22,Riya,East,Ahmedabad,Maharashtra,Charger,Electronics,5,41705,3837.09,0.08,First Class,Corporate
20268,2024-11-07,Tanya,West,Hyderabad,West Bengal,Book,Books,2,6538,1120.05,0.23,Second Class,Corporate
20705,2022-03-29,Karan,East,Pune,West Bengal,Shoes,Fashion,3,13272,2213.62,0.09,Same Day,Consumer
20310,2020-04-07,Vikas,East,Bangalore,West Bengal,Oven,Appliances,5,38895,4452.78,0.01,Same Day,Home Office
20849,2022-08-15,Neha,West,Delhi,Delhi,Sofa,Furniture,3,2343,555.29,0.14,Standard Class,Consumer
20217,2020-03-01,Neha,South,Hyderabad,Maharashtra,Table,Furniture,2,16540,4891.39,0.24,Same Day,Home Office
20524,2020-10-01,Karan,North,Pune,Karnataka,Charger,Electronics,3,13170,4459.75,0.24,Standard Class,Home Office
20318,2024-06-03,Meera,South,Delhi,Karnataka,Bottle,Accessories,5,10250,2739.12,0.19,Same Day,Consumer
20655,2024-05-13,Deepak,South,Chennai,Telangana,Camera,Electronics,5,42690,2700.13,0.18,Standard Class,Home Office
20250,2021-01-25,Karan,South,Bangalore,Gujarat,Book,Books,1,8307,2835.32,0.28,Second Class,Home Office
20995,2021-02-05,Neha,South,Kolkata,Tamil Nadu,T-shirt,Fashion,1,7993,1829.45,0.07,Same Day,Consumer
20171,2022-07-24,Deepak,South,Bangalore,Telangana,Charger,Electronics,1,5768,1433.33,0.22,Standard Class,Consumer
20450,2020-11-06,Rahul,East,Pune,Telangana,T-shirt,Fashion,2,9292,2902.92,0.16,Same Day,Home Office
20029,2022-08-15,Amit,North,Pune,Gujarat,Charger,Electronics,1,571,178.21,0.3,Second Class,Corporate
20340,2021-01-23,Amit,North,Delhi,Delhi,Television,Electronics,3,4395,611.35,0.26,Second Class,Corporate
20949,2021-08-07,Amit,West,Pune,Telangana,Shoes,Fashion,4,8512,2433.61,0.03,Second Class,Home Office
20344,2020-01-11,Priya,East,Chennai,Telangana,Book,Books,4,23960,4084.56,0.25,Second Class,Consumer
20330,2023-02-04,Priya,East,Delhi,Delhi,Camera,Electronics,1,6702,1996.27,0.24,Second Class,Home Office
20099,2022-11-09,Deepak,West,Kolkata,Telangana,Television,Electronics,5,39785,8138.99,0.15,Standard Class,Home Office
20781,2023-02-17,Tanya,East,Bangalore,Tamil Nadu,Camera,Electronics,4,8932,2751.4,0.14,Same Day,Home Office
20649,2023-05-03,Tanya,West,Kolkata,Tamil Nadu,Smartphone,Electronics,4,39640,3016.45,0.12,First Class,Corporate
20176,2024-06-13,Priya,West,Hyderabad,Tamil Nadu,Backpack,Accessories,5,16600,5284.51,0.3,Second Class,Consumer
20115,2021-11-28,Rahul,West,Ahmedabad,Karnataka,Table,Furniture,2,12966,2848.88,0.08,Second Class,Home Office
20353,2021-07-24,Neha,East,Hyderabad,Karnataka,Blender,Appliances,1,7224,2175.18,0.21,Second Class,Home Office
20007,2020-05-12,Neha,North,Hyderabad,Gujarat,Sofa,Furniture,2,6216,365.34,0.25,Second Class,Home Office
20927,2020-03-22,Sneha,North,Delhi,Gujarat,Smartphone,Electronics,5,2970,320.58,0.03,First Class,Consumer
20866,2021-11-30,Meera,West,Mumbai,Gujarat,Sofa,Furniture,3,3921,321.89,0.23,Second Class,Consumer
20412,2021-07-25,Karan,West,Hyderabad,Delhi,Shoes,Fashion,4,8748,2460.43,0.28,Same Day,Consumer
20906,2022-06-04,Amit,East,Bangalore,Tamil Nadu,Fan,Appliances,2,15474,5292.83,0.29,Same Day,Home Office
20460,2022-10-27,Neha,North,Pune,Gujarat,Laptop,Electronics,3,29835,5685.41,0.28,First Class,Consumer
20887,2022-03-07,Neha,West,Ahmedabad,Karnataka,Chair,Furniture,2,6910,1702.3,0.08,Standard Class,Corporate
20989,2020-01-21,Karan,North,Kolkata,Delhi,Chair,Furniture,3,17778,3072.04,0.27,First Class,Corporate
20793,2022-03-02,Arjun,North,Chennai,Gujarat,Fan,Appliances,4,10220,2176.55,0.05,Standard Class,Consumer
20027,2024-09-05,Priya,West,Hyderabad,Gujarat,Chair,Furniture,3,3777,522.17,0.27,Second Class,Home Office
20153,2022-01-03,Vikas,South,Hyderabad,Tamil Nadu,Television,Electronics,4,8700,1558.1,0.06,Standard Class,Home Office
20117,2021-01-20,Meera,South,Pune,Gujarat,Table,Furniture,3,12264,1163.54,0.14,Second Class,Corporate
20166,2024-04-16,Neha,West,Delhi,Delhi,Sofa,Furniture,1,2343,665.31,0.01,Second Class,Home Office
20588,2022-06-07,Riya,North,Delhi,Delhi,Chair,Furniture,1,9205,2602.63,0.28,Standard Class,Corporate
20973,2021-08-11,Sneha,South,Pune,Karnataka,Book,Books,2,14628,1612.85,0.21,First Class,Corporate
20305,2020-11-12,Rahul,West,Ahmedabad,Maharashtra,Backpack,Accessories,1,7217,1695.86,0.18,Standard Class,Corporate
20860,2023-09-03,Sneha,South,Hyderabad,Maharashtra,Oven,Appliances,3,8190,606.34,0.27,Same Day,Corporate
20895,2021-05-29,Tanya,South,Kolkata,Gujarat,T-shirt,Fashion,3,22437,2785.13,0.05,Standard Class,Home Office
20750,2023-10-11,Meera,East,Kolkata,Karnataka,Bottle,Accessories,4,15860,892.26,0.2,Standard Class,Consumer
20714,2022-01-24,Rahul,North,Ahmedabad,Karnataka,Oven,Appliances,1,9394,1773.46,0.26,First Class,Corporate
20805,2021-05-30,Arjun,West,Mumbai,Tamil Nadu,Charger,Electronics,4,5020,311.4,0.26,Same Day,Consumer
20866,2024-03-15,Sneha,South,Ahmedabad,Tamil Nadu,Smartphone,Electronics,2,3388,457.91,0.11,First Class,Consumer
20911,2024-10-26,Rahul,South,Pune,Tamil Nadu,Table,Furniture,4,28780,6635.42,0.19,Second Class,Corporate
20837,2022-10-01,Tanya,North,Bangalore,Maharashtra,Oven,Appliances,1,3455,787.34,0.05,First Class,Consumer
20163,2023-06-06,Karan,South,Ahmedabad,Maharashtra,Laptop,Electronics,4,29448,5481.36,0.07,First Class,Corporate
20605,2024-12-06,Arjun,West,Hyderabad,Karnataka,Camera,Electronics,1,6576,819.46,0.19,Standard Class,Consumer
20284,2023-02-18,Neha,South,Bangalore,West Bengal,Watch,Fashion,5,19340,5059.65,0.13,First Class,Home Office
20957,2020-11-29,Priya,North,Chennai,West Bengal,Camera,Electronics,5,47675,3123.14,0.19,First Class,Corporate
20837,2023-03-30,Amit,South,Mumbai,Delhi,Bottle,Accessories,4,19540,3306.44,0.14,First Class,Home Office
20306,2024-12-25,Tanya,North,Bangalore,Maharashtra,Book,Books,3,10647,1626.82,0.16,First Class,Corporate
20746,2022-06-10,Vikas,North,Pune,Telangana,Table,Furniture,2,19712,1540.89,0.2,Same Day,Corporate
20175,2024-12-30,Amit,West,Kolkata,Delhi,Jeans,Fashion,2,13114,1616.22,0.25,First Class,Consumer
20814,2022-03-11,Amit,South,Ahmedabad,Telangana,Bottle,Accessories,5,49095,12046.43,0.03,Same Day,Corporate
20575,2024-05-27,Amit,West,Mumbai,Tamil Nadu,Camera,Electronics,1,7224,2056.79,0.17,Standard Class,Home Office
20102,2021-05-08,Sneha,East,Delhi,Telangana,Backpack,Accessories,3,11559,3221.33,0.24,First Class,Consumer
20822,2021-03-30,Tanya,North,Delhi,Delhi,Oven,Appliances,1,5106,1118.38,0.11,Standard Class,Consumer
20291,2020-04-11,Deepak,South,Ahmedabad,Maharashtra,Jeans,Fashion,3,22251,5247.83,0.14,First Class,Consumer
20454,2021-09-20,Deepak,West,Pune,Telangana,Charger,Electronics,5,23495,5264.09,0.16,First Class,Home Office
20814,2021-05-12,Arjun,West,Pune,Delhi,Jeans,Fashion,5,42560,4627.69,0.0,First Class,Consumer
20804,2021-12-15,Rahul,West,Hyderabad,West Bengal,Oven,Appliances,4,1760,273.66,0.03,Standard Class,Consumer
20669,2022-01-20,Arjun,North,Hyderabad,West Bengal,Headphones,Electronics,2,11678,3098.07,0.12,Standard Class,Corporate
20263,2023-10-06,Arjun,West,Bangalore,Karnataka,T-shirt,Fashion,5,19770,2739.8,0.24,Standard Class,Corporate
20452,2024-12-03,Riya,South,Hyderabad,Tamil Nadu,Laptop,Electronics,4,23180,4820.28,0.03,Standard Class,Home Office
20726,2023-05-28,Tanya,South,Kolkata,Tamil Nadu,Camera,Electronics,2,12104,3654.9,0.27,Same Day,Consumer
20580,2020-02-19,Meera,North,Pune,Maharashtra,Bottle,Accessories,4,30108,7569.98,0.24,First Class,Corporate
20581,2021-11-17,Amit,East,Kolkata,Karnataka,Headphones,Electronics,4,6196,1188.81,0.16,Second Class,Consumer
20455,2023-03-29,Neha,East,Chennai,Maharashtra,T-shirt,Fashion,1,1400,319.68,0.15,Second Class,Home Office
20835,2024-04-26,Riya,South,Mumbai,Gujarat,Book,Books,1,6902,2397.59,0.04,First Class,Corporate
20621,2022-10-02,Sneha,North,Pune,Karnataka,Table,Furniture,5,40715,4379.31,0.1,First Class,Corporate
20781,2021-07-14,Arjun,East,Hyderabad,Karnataka,Smartphone,Electronics,4,11100,1333.26,0.16,Second Class,Corporate
20381,2020-02-27,Rahul,South,Bangalore,Telangana,Backpack,Accessories,2,11182,2779.31,0.17,Second Class,Home Office
20812,2024-01-05,Sneha,North,Pune,Karnataka,Watch,Fashion,5,18370,2025.85,0.16,Second Class,Corporate
20657,2023-11-24,Arjun,North,Bangalore,Karnataka,Table,Furniture,4,7916,1304.22,0.04,First Class,Corporate
20321,2024-07-14,Karan,North,Hyderabad,Karnataka,Chair,Furniture,2,10390,917.58,0.25,Second Class,Corporate
20481,2024-08-13,Priya,East,Kolkata,Karnataka,Sofa,Furniture,2,5416,413.2,0.28,Standard Class,Consumer
20702,2023-12-01,Deepak,West,Chennai,Karnataka,Shoes,Fashion,2,9412,927.36,0.24,First Class,Corporate
20490,2020-01-12,Amit,South,Kolkata,Gujarat,T-shirt,Fashion,2,11696,1920.33,0.26,Second Class,Corporate
20948,2024-03-29,Tanya,West,Mumbai,Maharashtra,Oven,Appliances,5,40710,4154.75,0.21,Second Class,Corporate
20537,2022-03-03,Riya,North,Bangalore,West Bengal,Laptop,Electronics,4,34344,6735.5,0.18,Second Class,Corporate
20483,2022-06-20,Tanya,West,Chennai,Karnataka,Sofa,Furniture,5,14145,996.54,0.01,Standard Class,Home Office
20012,2024-12-28,Arjun,East,Hyderabad,Maharashtra,Sofa,Furniture,4,24308,3240.88,0.26,Same Day,Consumer
20060,2021-10-24,Rahul,West,Pune,Delhi,Bottle,Accessories,5,33940,2289.22,0.3,Standard Class,Home Office
20983,2020-03-23,Tanya,West,Bangalore,Gujarat,Headphones,Electronics,5,28740,8185.41,0.08,First Class,Consumer
20552,2022-02-23,Karan,South,Pune,Tamil Nadu,Book,Books,4,37244,3803.57,0.2,Second Class,Home Office
20628,2024-09-22,Rahul,East,Mumbai,Telangana,Book,Books,3,5547,571.71,0.12,Standard Class,Corporate
20731,2021-02-08,Riya,North,Chennai,Maharashtra,Backpack,Accessories,5,35465,9018.48,0.06,Standard Class,Consumer
20242,2021-05-07,Karan,East,Chennai,Karnataka,Fan,Appliances,5,22840,1434.12,0.11,Standard Class,Home Office
20768,2020-07-01,Karan,West,Chennai,Telangana,Shoes,Fashion,2,10038,2722.38,0.14,Standard Class,Consumer
20554,2020-01-21,Deepak,South,Bangalore,Tamil Nadu,Sofa,Furniture,1,4500,362.9,0.2,Standard Class,Consumer
20097,2022-10-30,Priya,West,Delhi,Gujarat,Table,Furniture,5,38755,9346.17,0.2,First Class,Corporate
20913,2022-08-13,Vikas,East,Kolkata,Delhi,Sofa,Furniture,3,22149,4511.01,0.2,Standard Class,Consumer
20621,2023-12-29,Meera,West,Kolkata,Karnataka,Headphones,Electronics,1,1968,398.67,0.12,First Class,Corporate
20399,2023-05-19,Vikas,West,Ahmedabad,Maharashtra,Bottle,Accessories,4,36216,3702.46,0.03,Second Class,Corporate
20550,2024-07-04,Arjun,West,Hyderabad,Delhi,Television,Electronics,1,2676,440.42,0.06,Standard Class,Corporate
20169,2020-08-04,Deepak,North,Chennai,Gujarat,Fan,Appliances,2,4992,437.15,0.14,Second Class,Corporate
20912,2023-08-04,Arjun,North,Ahmedabad,West Bengal,Smartphone,Electronics,3,2463,373.1,0.28,First Class,Consumer
20846,2020-05-03,Deepak,North,Ahmedabad,Tamil Nadu,Fan,Appliances,4,11044,3627.9,0.2,First Class,Corporate
20995,2020-05-01,Vikas,North,Hyderabad,Telangana,Book,Books,1,5175,1685.38,0.08,Standard Class,Corporate
20360,2020-08-25,Vikas,North,Mumbai,Maharashtra,Charger,Electronics,3,27267,7524.5,0.08,Same Day,Consumer
20541,2020-07-31,Sneha,North,Ahmedabad,West Bengal,Fan,Appliances,3,13449,2053.87,0.12,Standard Class,Consumer
20703,2024-07-11,Rahul,West,Ahmedabad,Delhi,Book,Books,4,39184,10906.34,0.05,Second Class,Corporate
20876,2023-07-08,Rahul,North,Ahmedabad,Telangana,Laptop,Electronics,4,22572,7086.37,0.2,Standard Class,Corporate
20231,2024-10-20,Neha,South,Mumbai,Telangana,Smartphone,Electronics,1,2459,701.15,0.17,Second Class,Corporate
20012,2020-07-27,Tanya,South,Ahmedabad,West Bengal,Smartphone,Electronics,5,39220,9942.81,0.23,First Class,Home Office
20101,2021-11-28,Sneha,North,Hyderabad,Tamil Nadu,Oven,Appliances,5,27755,7400.07,0.27,First Class,Corporate
20822,2022-05-20,Karan,South,Kolkata,Tamil Nadu,T-shirt,Fashion,4,5520,917.99,0.12,First Class,Consumer
20336,2021-11-28,Vikas,East,Bangalore,Karnataka,Chair,Furniture,4,17036,3936.1,0.2,Second Class,Home Office
20915,2023-09-04,Rahul,West,Chennai,Karnataka,Sofa,Furniture,4,3364,1159.2,0.06,Same Day,Home Office
20350,2020-07-01,Amit,East,Delhi,Karnataka,Laptop,Electronics,2,2260,262.57,0.18,First Class,Home Office
20118,2020-06-09,Amit,South,Bangalore,West Bengal,Backpack,Accessories,4,3836,1095.93,0.04,Second Class,Home Office
20871,2020-05-16,Deepak,East,Delhi,Telangana,Blender,Appliances,5,29620,6506.48,0.29,First Class,Consumer
20254,2024-07-11,Riya,South,Kolkata,Tamil Nadu,Television,Electronics,3,6600,1879.51,0.02,First Class,Corporate
20349,2020-02-18,Karan,West,Delhi,Karnataka,T-shirt,Fashion,5,18155,1179.21,0.27,First Class,Consumer
